,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score
630045,630105,US,24967620,R3J4WHWKZ09QYN,B0029JASWA,461103327,"Dove Dark Chocolate Promises, 9.5-Ounce Packages (Pack of 4)",Grocery,4.0,0.0,1.0,N,Y,"After Hershey poisoned Cadbury and Ghirardelli, we were left ...","After Hershey poisoned Cadbury and Ghirardelli, we were left with Swiss LINDT. DOVE is the only other access  to real chocolate in America, probably because it's owned buy Mars, a UK company. Stay away from Hershey",2015-02-02,-0.4939
630669,630729,US,49297478,R1VOY99VIE9CLK,B00HXJGDU2,127333631,"R.Y.S.E Guanabana Fruit Soursop, Graviola, 2-3 Lb",Grocery,1.0,12.0,14.0,N,N,Revived rotten fruit,Unfortunately I revive the fruit later than what I paid for and rotten . Truly upset becausey grandmother needed it .,2015-02-02,-0.4588
633923,633984,US,43091514,RT343JYOABQSW,B00J78DD8W,767296913,"Pillsbury Funfetti Aqua Blue Cupcake and Cake Mix, 8.25 Ounce",Grocery,1.0,3.0,3.0,N,N,please don't not buy this product for the children's Taste good but is very dangerous ðŸ˜²ðŸ˜·ðŸ˜¡ðŸ˜ ,"My daughter is 6 years old, after she eating the cake she vomited 5 times blue, and her poop is  green.please don't not buy this product for the children's Taste good but is very dangerous ðŸ˜²ðŸ˜·ðŸ˜¡ðŸ˜ ",2015-02-01,-0.5632
635382,635443,US,50027310,R2UVXXEFZT8NH,B008RW7PDS,986668840,South Beach Diet Snack Bar,Grocery,1.0,0.0,0.0,N,N,"Stay away (unless you like nasty ""food"" that makes you sick)!","One star is too many for this horrible product. Not only was the taste so bad I would never eat another one except in a dire emergency (one bite and you know this is not real food you're eating--only someone who's been depriving themselves of yummy food and has forgotten what it tastes like could possibly say this tastes even moderately good), but even though I got these free as a promotional thing at my grocery store, the price I'm paying right now in pain and gastric distress is far too high, especially for something that tasted so bad. I said I wouldn't eat another one except in a dire emergency, but I'm not even sure that's true. I suppose it's works at curbing cravings because it makes you so bloated and sick you don't want to look at food. Well done, South Beach! I doubt I even give these away, unless it's to someone I dislike.",2015-01-31,-0.9883
639621,639683,US,41172147,R2FVORIUDWN7CP,B007MCGSNM,354284543,Trader Joe's Cinnamon Almonds Pack of 3 16oz. Bags,Grocery,1.0,0.0,0.0,N,Y,They are old and rotten and the coating is not any better.,The nuts are obviously another companies throw away's. They are old and rotten and the coating is not any better.,2015-01-29,-0.7909
639772,639834,US,37110424,RNHLIXDSHMRBG,B000JMAVYO,162949448,Spicy World Almonds Whole (Natural and Raw),Grocery,1.0,3.0,5.0,N,N,poison,covered with FDA CRAP PPO,2015-01-29,-0.516
642500,642563,US,35285244,R3DAVYQHWLT9DE,B00AQM76K4,47705203,Lipton Soup Secrets Noodle Soup Mix,Grocery,5.0,3.0,4.0,N,Y,"Ok - the soup itself is not awesome - it is ""sick soup"" The soup my kids ...","Ok - the soup itself is not awesome - it is &#34;sick soup&#34;<br />The soup my kids ask for when they are sick.<br />Why? Because when I was a kid, and I got sick, its what my mom made for me.<br />Don't give me that &#34;homemade is better&#34; argument.  I know homemade soup is better.  I also know kids can be difficult when they have a boogie nose and a fever.<br />So when your kid is sick and they don't want organic carrots, celery or onions in their natural stock farm raised chicken soup, boil up a bowl of this, spread some butter on a hunk of good bread (don't skimp here) and give them the soup.<br />Its salty, its got noodles - and broth.and probably a boatload of MSG which makes it taste great to them even though they have a boogie nose.<br />Go for it - no one will get hurt.",2015-01-28,-0.7283
646368,646431,US,42864868,RH8XF9UV1DJ4A,B00F1G84ME,860272604,BeanBoozled Spinner Jelly Bean Gift Box - 3.5 oz,Grocery,5.0,0.0,0.0,N,Y,"Fun, but a little expensive...if you like eating rotten egg flavored candy!!","My 5 yr old daughter loves these!!! Oh not to eat them, but to make other people gamble on getting a skunk flavored Jelly Bean... gross. Who would willingly eat barf or booger flavored anything?! Fun but gross... and quite expensive for gross tasting candy.",2015-01-27,-0.5673
648945,649008,US,33313773,R3DSX6Q2QP99V5,B00FNVSF2Q,472051924,Pink Ginger Starter Plant Hawaiian – 2 Pack #E2,Grocery,1.0,0.0,1.0,N,Y,sick and not pretty at all,"I  do have a green thumb, but with this plants nothing I do made them grow healthy, they are still small, sick and not pretty at all.",2015-01-26,-0.6533
648953,649016,US,15005427,RNDLJRATCWC9F,B0008D6WBA,356715615,"Great Lakes Unflavored Gelatin, Kosher, 16 Ounce Can",Grocery,2.0,0.0,0.0,N,Y,EW-rotten flesh smell and taste,It has a rotten flesh smell/taste to it that makes me gag. I am going back to Knox. EW.,2015-01-26,-0.6908
649765,649828,US,30773664,R2ZK1WNTFJ1L77,B00P8E0RDS,904771369,Bulletproof® Ground Coffee 12oz,Grocery,1.0,4.0,16.0,N,Y,I got terribly sick after buying and using the coffee and other ...,I got terribly sick after buying and using the coffee and other items to go with it. I am still sick. Can I return an unopened package of it. I do not know how much cafferine is in it. I got A fib from it.,2015-01-26,-0.8807
653190,653254,US,15826923,R2K5KYKC5H1JOQ,B007MI2R4U,617793307,"Core Power Natural High-Protein Milk Shake, 11.5 Ounce (Pack of 12)",Grocery,1.0,3.0,6.0,N,Y,Possibly dangerous Aspartame and Sucralose was added to the bottles in my shipment.  Not as advertised in Amazon's picture!!!!!!,"The bottles of CorePower strawberry Banana Light that I received as part of my May subscription have a DIFFERENT list of ingredients than the ingredient list for Core Power Strawberry Banana Light pictured on Amazon.com  today (May 22, 2015).  The bottles I got in the month of May, have two controversial sweeteners…acelsufame potassium (Aspartame) and Sucralose added.  Besides being possibly dangerous to ingest, it is unnecessary because the tiny bit of honey and the fruit juice concentrate alone is way more sweetener than is needed.other negative ratings.    I wish Amazon would now allow this Core Power Chocolate Light be allowed back in to their Subscribe-and-Save Program after the sellers root out any remaining bottles of the experimental formula that was lumpy.",2015-01-24,-0.6486
657678,657742,US,43541276,R1QS0GJJJCAWW3,B00H49IYD0,450677681,Paleo -Almond Thin Crackers (Low Carb) Net Wt 8.5 oz ( 241g),Grocery,1.0,2.0,2.0,N,Y,these crackers are an excellent rat poison,"I gave some to my dog; my dog bit me. I gave some to my parrot; it flew away and never came back. I let my parents try some; they said that I was trying the kill them to collect on the insurance policy. I gave some to my fiance; she gave me back the engagement ring and told  me to get lost.  However, I did have some house mice; they ate them and died.  Conclusion: these crackers are an excellent rat poison.  Buy them if you have a mice problem. Otherwise, save your money; or you will truly be lonely.  What a horrible taste!!!",2015-01-22,-0.8974
660955,661020,US,45762207,R1NUJJ69O3YP9J,B006K3RCPC,23413404,"La Tourangelle, Avocado Oil Spray, 5 Fl. Oz.",Grocery,1.0,8.0,10.0,N,Y,"Bitter, rotten, putrid, foul","I purchased La Tourangelles' Avocado oil with high expectations since I adore the Pistachio oil they produce. To say I was disappointed in the Avocado oil is an understatement. The can arrived so badly damaged that I had to check the integrity of the seal before I would even consider tasting it, then wished the can had been destroyed completely.<br />  The oil was thin, light in color and silky when rubbed between the fingers, no feeling of grit or clumps of mystery goo. That is where the pleasantries end.<br /> &#34;Disgusting&#34; is simply not a strong enough term. The oil smelled foul and cloying, the stench hitting the nostrils like a runaway bullet train. The taste is beyond adequate description but I will try throwing out a few adjectives.<br /> Bitter, rotten, putrid, foul, sour, death.",2015-01-21,-0.962
661654,661719,US,13314374,R33R8IH0H1QB3O,B000H221QW,561929073,"SugarTwin, Granulated Brown Calorie Free Sweetener, 2.85-Ounce Boxes (Pack of 12)",Grocery,1.0,0.0,0.0,N,Y,This stuff is poison. I bought it because I ...,This stuff is poison. I bought it because I was on a diet.  Find a new diet that allows you to eat real food.,2015-01-21,-0.5423
